callsign,org
N212AE,LASD
N240HJ,LASD
N392JK,LASD
N451DS,LASD
N8139T,LASD
N87716,LASD
N950DF,LASD
N950DG,LASD
N950LA,LASD
N950SB,LASD
N950SD,LASD
N950SG,LASD
N951LA,LASD
N951LB,LASD
N952JH,LASD
N953LA,LASD
N953SD,LASD
N954LA,LASD
N955LA,LASD
N956LA,LASD
N957LA,LASD
N958LA,LASD
N959LA,LASD
N960LA,LASD
N960SD,LASD
N961LA,LASD
N961SD,LASD
N962LA,LASD
N963SD,LASD
N964SD,LASD
N965SD,LASD
N966SD,LASD
N967SD,LASD
N968SD,LASD
N970SD,LASD
`,LAPD
N211LA,LAPD
N212LA,LAPD
N213PF,LAPD
N217LA,LAPD
N21844,LAPD
N221LA,LAPD
N223LA,LAPD
N225LA,LAPD
N226LA,LAPD
N228LA,LAPD
N229LA,LAPD
N230LA,LAPD
N232LA,LAPD
N233LA,LAPD
N267LA,LAPD
N3202Q,LAPD
N3202X,LAPD
N323LA,LAPD
N396EA,LAPD
N458TL,LAPD
N472LA,LAPD
N6281N,LAPD
N661PD,LAPD
N662PD,LAPD
N664PD,LAPD
N665PD,LAPD
N668PD,LAPD
N703WP,LAPD
N704WP,LAPD
N8056B,LAPD
N852HY,LAPD
N863XL,LAPD
N863YD,LAPD
N886KA,LAPD
N913WB,LAPD
N913WB,LAPD
N221LA,
